policy_id,premium_policy,premium_gl,diff,diff_pct,flag_reason
P1000,1708.92,1708.92,0.0,0.0,OK
P10000,1271.42,-1271.42,-2542.84,-2.0,Large difference
P10001,4310.88,4526.42,215.53999999999996,0.04999907211520617,Large difference
P10002,1377.78,1377.78,0.0,0.0,OK
P10003,4295.09,4295.09,0.0,0.0,OK
P10004,2084.01,,,,Missing in GL
P10005,799.56,799.56,0.0,0.0,OK
P10006,820.91,779.86,-41.049999999999955,-0.05000548172150413,OK
P10007,2284.58,2284.58,0.0,0.0,OK
P10008,4886.83,4886.83,0.0,0.0,OK
P10009,4496.82,4496.82,0.0,0.0,OK
P1001,1802.69,1712.56,-90.13000000000011,-0.04999750373053609,Large difference
P10010,4307.26,,,,Missing in GL
P10011,3709.39,3894.86,185.47000000000025,0.0500001347930523,Large difference
P10012,1190.29,1130.78,-59.50999999999999,-0.049996219408715514,Large difference
P10013,917.57,-963.45,-1881.02,-2.050001634752662,Large difference
P10014,3724.44,3910.66,186.2199999999998,0.04999946300651904,Large difference
P10015,3544.33,3721.55,177.22000000000025,0.05000098749269968,Large difference
P10016,701.75,701.75,0.0,0.0,OK
P10017,3289.32,3289.32,0.0,0.0,OK
P10018,4347.73,4347.73,0.0,0.0,OK
P10019,4829.38,4829.38,0.0,0.0,OK
P1002,4656.99,4656.99,0.0,0.0,OK
P10020,1183.46,1124.29,-59.17000000000007,-0.049997465060078135,Large difference
P10021,842.89,842.89,0.0,0.0,OK
P10022,1305.06,1305.06,0.0,0.0,OK
P10023,2063.13,2063.13,0.0,0.0,OK
P10024,1870.02,1870.02,0.0,0.0,OK
P10025,3251.11,3251.11,0.0,0.0,OK
P10026,1769.08,1769.08,0.0,0.0,OK
P10027,3848.51,4040.94,192.42999999999984,0.05000116928369676,Large difference
P10028,3916.37,3916.37,0.0,0.0,OK
P10029,959.69,1007.67,47.979999999999905,0.04999531098583908,OK
P1003,3669.41,3485.94,-183.4699999999998,-0.049999863738312104,Large difference
P10030,3150.69,3150.69,0.0,0.0,OK
P10031,,4368.39,,,Missing in policies
P10032,4519.64,4745.62,225.97999999999956,0.049999557486879384,Large difference
P10033,1032.46,1032.46,0.0,0.0,OK
